,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
0,107,臺北市文山區車前路17號24樓,文山區,3.0,房地(土地+建物)+車位,1071219,1040427,3,2,2,坡道平面,有,196208,False,24,121.54075840000002,24.991381099999998
1,107,臺北市萬華區桂林路128號12樓之2,萬華區,2.0,房地(土地+建物)+車位,1071105,1050307,3,2,2,坡道平面,有,170308,False,12,121.4990209,25.038380099999998
2,108,臺北市大同區重慶北路二段150號四樓,大同區,1.0,房地(土地+建物),1080115,1071129,4,2,2,,有,201095,False,4,121.513455,25.058681000000004
3,108,臺北市大同區重慶北路二段150號十樓之3,大同區,1.0,房地(土地+建物)+車位,1080115,1071129,4,2,2,坡道平面,有,219608,False,10,121.513455,25.058681000000004
4,108,臺北市大同區重慶北路二段150號五樓之3,大同區,1.0,房地(土地+建物)+車位,1080115,1071129,4,2,2,坡道平面,有,207036,False,5,121.513455,25.058681000000004
5,108,臺北市大同區重慶北路二段150號十一樓之2,大同區,1.0,房地(土地+建物)+車位,1080115,1071129,2,2,1,坡道平面,有,226875,False,11,121.513455,25.058681000000004
6,108,臺北市大同區重慶北路二段150號十三樓,大同區,1.0,房地(土地+建物)+車位,1080115,1071129,4,2,2,坡道平面,有,225336,False,13,121.513455,25.058681000000004
7,108,臺北市大同區重慶北路二段150號十三樓之1,大同區,1.0,房地(土地+建物),1080115,1071129,2,2,1,,有,227096,False,13,121.513455,25.058681000000004
8,108,臺北市大同區重慶北路二段150號十三樓之2,大同區,1.0,房地(土地+建物),1080115,1071129,2,2,1,,有,231306,False,13,121.513455,25.058681000000004
9,108,臺北市大同區重慶北路二段150號十四樓之2,大同區,1.0,房地(土地+建物)+車位,1080115,1071129,2,2,1,坡道平面,有,238174,False,14,121.513455,25.058681000000004
10,108,臺北市內湖區康寧路三段56巷198號7樓之1,內湖區,9.0,房地(土地+建物)+車位,1080116,0990820,2,2,1,坡道平面,有,158961,False,7,121.60742839999999,25.067186
11,108,臺北市內湖區內湖路二段103巷119弄44號3樓,內湖區,36.0,房地(土地+建物),1080113,0720331,3,2,2,,有,122042,False,3,121.581867,25.084180999999997
12,108,臺北市內湖區陽光街161巷1弄1號3樓,內湖區,36.0,房地(土地+建物),1080103,0720129,3,2,1,,無,141055,False,3,121.5853312,25.074789300000003
13,108,臺北市內湖區民權東路六段135巷38號2樓,內湖區,8.0,房地(土地+建物)+車位,1080109,1000215,4,2,2,坡道平面,有,155424,False,2,121.5939659,25.070199
14,107,臺北市中山區新生北路二段68巷8號10樓之11,中山區,2.0,房地(土地+建物)+車位,1071220,1050602,2,1,1,坡道平面,有,272085,False,10,121.5268045,25.0566792
15,107,臺北市中山區新生北路二段68巷8號10樓之2,中山區,2.0,房地(土地+建物)+車位,1071225,1050602,2,1,1,坡道平面,有,269428,False,10,121.5268045,25.0566792
16,107,臺北市中山區新生北路二段68巷8號9樓之5,中山區,2.0,房地(土地+建物)+車位,1071106,1050602,2,1,1,坡道平面,有,270392,False,9,121.5268045,25.0566792
17,107,臺北市中山區四平街117號,中山區,45.0,房地(土地+建物),1071225,0620807,2,1,2,,無,277729,False,1,121.53619379999999,25.053749199999995
18,107,臺北市內湖區成功路四段180號二十三樓,內湖區,0.0,房地(土地+建物),1071203,1070223,0,0,0,,有,279341,False,23,121.5939292,25.083632599999998
19,107,臺北市內湖區成功路四段180號二十三樓之1,內湖區,0.0,房地(土地+建物)+車位,1071203,1070223,0,0,0,坡道平面,有,280977,False,23,121.5939292,25.083632599999998
20,108,臺北市松山區三民路18號5樓之1,松山區,5.0,房地(土地+建物),1080125,1030530,1,1,1,,無,285506,False,5,121.56396240000001,25.0526141
21,107,臺北市信義區信義路五段150巷14弄2之2號四樓,信義區,38.0,房地(土地+建物),1071207,0690811,3,2,1,,無,198086,False,4,121.56909700000001,25.028395
22,107,臺北市松山區南京東路三段303巷3弄4號四樓,松山區,34.0,房地(土地+建物),1071011,0730716,4,2,2,,有,233836,False,4,121.54644579999999,25.052528199999998
23,108,臺北市士林區中社路二段123號4樓,士林區,43.0,房地(土地+建物),1080105,0650103,4,2,2,,無,100078,False,4,121.5673938,25.106459399999995
24,108,臺北市士林區天母北路91號6樓,士林區,34.0,房地(土地+建物),1080109,0740819,4,2,2,,有,143939,False,6,121.526808,25.122886
25,107,臺北市士林區忠誠路一段18號9樓之2,士林區,13.0,房地(土地+建物)+車位,1071215,0941228,5,2,3,坡道機械,有,289600,False,9,121.5257318,25.104378099999995
26,107,臺北市士林區基河路22號四樓之2,士林區,10.0,房地(土地+建物),1071114,0971126,1,1,1,,有,252911,False,4,121.52437149999999,25.0832535
27,108,臺北市士林區天母北路9巷8號五樓,士林區,2.0,房地(土地+建物)+車位,1080102,1060428,2,2,2,其他,有,269596,False,5,121.52684529999999,25.119073300000004
28,107,臺北市北投區行義路170巷27弄3號二樓,北投區,5.0,房地(土地+建物)+車位,1071112,1020730,3,2,2,坡道平面,有,168750,False,2,121.5299287,25.1317088
29,107,臺北市大安區和平東路三段1巷72弄7號2樓,大安區,33.0,房地(土地+建物),1071227,0740522,3,2,1,,有,177200,False,2,121.54626270000001,25.0279333
30,107,臺北市大安區信義路四段265巷5弄6號6樓,大安區,34.0,房地(土地+建物)+車位,1071221,0730223,2,2,2,坡道平面,有,219633,False,6,121.55452269999999,25.033642
31,108,臺北市文山區萬美街二段57號7樓,文山區,24.0,房地(土地+建物)+車位,1080110,0840830,4,2,1,坡道機械,有,79998,False,7,121.564511,25.005135999999997
32,107,臺北市大同區重慶北路二段196號10樓之11及之13,大同區,34.0,房地(土地+建物),1071201,0731116,2,2,1,,無,134416,False,10,121.51332660000001,25.0626975
33,108,臺北市大同區承德路二段69號11樓之2,大同區,2.0,房地(土地+建物)+車位,1080105,1060925,3,2,2,坡道平面,有,264590,False,11,121.5184132,25.055644599999997
34,107,臺北市內湖區成功路五段40號11樓,內湖區,23.0,房地(土地+建物),1071207,0840725,3,2,1,,有,158452,False,11,121.60728350000001,25.0774817
35,107,臺北市南港區經貿二路157巷36弄101號10樓,南港區,5.0,房地(土地+建物)+車位,1071210,1020812,2,2,1,其他,有,215147,False,10,121.6149678,25.061957799999995
36,107,臺北市大安區敦化南路二段55巷6號3樓,大安區,37.0,房地(土地+建物),1071229,0700311,3,2,2,,有,253610,False,3,121.5496661,25.0311818
37,108,臺北市大安區羅斯福路三段55號18樓,大安區,3.0,房地(土地+建物)+車位,1080104,1050721,3,2,2,坡道平面,有,307969,False,18,121.525719,25.023207999999997
38,108,臺北市北投區義理街63巷4弄11之6號五樓,北投區,30.0,房地(土地+建物),1080118,0780714,3,1,1,,無,117538,False,5,121.51532540000001,25.118019099999994
39,108,臺北市中山區明水路397巷7弄5號4樓,中山區,27.0,房地(土地+建物),1080109,0811021,2,2,1,,有,213367,False,4,121.5479733,25.078133399999995
40,107,臺北市內湖區內湖路一段285巷8弄1號6樓之1,內湖區,23.0,房地(土地+建物),1071230,0840111,3,2,1,,有,212342,False,6,121.56611470000001,25.0826924
41,107,臺北市中山區天祥路35號2樓,中山區,42.0,房地(土地+建物),1071229,0650820,3,1,1,,無,177535,False,2,121.52114449999998,25.0615144
42,108,臺北市中山區南京東路三段89巷15弄10號5樓,中山區,7.0,房地(土地+建物),1080106,1010323,2,2,1,,有,281966,False,5,121.5388931,25.0533763
43,108,臺北市大安區光復南路696號九樓,大安區,7.0,房地(土地+建物),1080119,1011120,3,2,2,,有,274914,False,9,121.5571642,25.029766099999996
44,108,臺北市北投區三合街二段452號十四樓,北投區,21.0,房地(土地+建物),1080104,0870714,2,1,1,,有,163810,False,14,121.50279370000001,25.126766399999994
45,108,臺北市北投區石牌路一段71巷6號六樓之4,北投區,41.0,房地(土地+建物),1080101,0671215,3,2,2,,有,162896,False,6,121.51129100000001,25.113816699999997
46,108,臺北市北投區吉利街93號3樓,北投區,33.0,房地(土地+建物),1080106,0750204,3,2,2,,無,104562,False,3,121.505669,25.118488199999998
47,107,臺北市松山區市民大道五段117號,松山區,42.0,房地(土地+建物),1071207,0651111,6,0,4,,無,215957,False,1,121.5633235,25.0478006
48,108,臺北市松山區南京東路五段59巷29之15號,松山區,47.0,房地(土地+建物),1080104,0610331,3,2,1,,無,195547,False,1,121.559391,25.053109900000003
49,107,臺北市中山區植福路286巷26號八樓,中山區,4.0,房地(土地+建物)+車位,1071122,1031229,0,0,0,坡道平面,有,479544,False,8,121.55924390000001,25.081311200000002
50,107,臺北市內湖區成功路四段178號二十七樓之3,內湖區,0.0,房地(土地+建物)+車位,1071211,1070223,0,0,0,坡道平面,有,296663,False,27,121.59385539999998,25.083588199999998
51,108,臺北市內湖區金龍路222巷16號十二樓之2,內湖區,26.0,房地(土地+建物)+車位,1080114,0821213,2,2,1,坡道平面,有,151008,False,12,121.5853707,25.087953499999998
52,107,臺北市內湖區內湖路二段338之2號十三樓,內湖區,4.0,房地(土地+建物)+車位,1071231,1031023,3,2,2,坡道平面,有,186947,False,13,121.58927429999999,25.081688200000002
53,108,臺北市萬華區青年路28號八樓之1,萬華區,32.0,房地(土地+建物),1080111,0760316,3,2,2,,有,136042,False,8,121.5051103,25.025837499999998
54,107,臺北市大同區承德路二段69號九樓之1,大同區,1.0,房地(土地+建物)+車位,1071221,1060925,3,2,2,坡道機械,有,269165,False,9,121.5184132,25.055644599999997
55,107,臺北市大同區哈密街23巷1之10號2樓,大同區,37.0,房地(土地+建物),1071206,0701216,3,2,2,,無,159247,False,2,121.51766350000001,25.074387899999998
56,108,臺北市中正區開封街一段48號3樓之8,中正區,12.0,房地(土地+建物),1080114,0961025,1,1,1,,無,223081,False,3,121.51448099999998,25.045817
57,107,臺北市文山區和平東路四段66巷43號十二樓,文山區,21.0,房地(土地+建物)+車位,1071211,0860529,4,2,3,坡道平面,有,87890,False,12,121.5655137,25.007240399999997
58,107,臺北市文山區新光路一段32巷4弄3號2樓之1,文山區,14.0,房地(土地+建物)+車位,1071118,0930910,1,1,1,坡道平面,無,117709,False,2,121.573127,24.989435
59,108,臺北市文山區木柵路一段59巷18號8樓,文山區,12.0,房地(土地+建物),1080101,0961029,2,2,1,,有,158884,False,8,121.54628400000001,24.9875819
60,108,臺北市文山區久康街157號十二樓,文山區,6.0,房地(土地+建物)+車位,1080111,1021217,3,2,2,坡道平面,有,146425,False,12,121.5676082,24.9907087
61,108,臺北市中正區羅斯福路一段83巷2號九樓之8,中正區,10.0,房地(土地+建物),1080110,0980903,1,1,1,,無,351525,False,9,121.51984929999998,25.03139
62,108,臺北市文山區保儀路11號十樓之1,文山區,6.0,房地(土地+建物)+車位,1080115,1020110,2,1,2,坡道機械,有,147576,False,10,121.56867659999999,24.988507199999997
63,108,臺北市萬華區中華路一段182號六樓,萬華區,9.0,房地(土地+建物)+車位,1080103,0991119,3,2,2,坡道機械,有,168943,False,6,121.50671349999999,25.039020600000004
64,108,臺北市大同區重慶北路二段67號九樓之12,大同區,36.0,房地(土地+建物),1080104,0720131,1,1,1,,有,166611,False,9,121.51420249999998,25.0557914
65,108,臺北市大同區重慶北路二段150號十三樓之3,大同區,1.0,房地(土地+建物)+車位,1080115,1071129,4,2,2,坡道平面,有,218283,False,13,121.513455,25.058681000000004
66,108,臺北市大同區重慶北路二段150號十四樓之1,大同區,1.0,房地(土地+建物)+車位,1080115,1071129,2,2,1,坡道平面,有,241830,False,14,121.513455,25.058681000000004
67,107,臺北市內湖區環山路一段59巷10弄11號3樓,內湖區,39.0,房地(土地+建物),1071231,0681121,3,2,2,,無,127808,False,3,121.56856149999999,25.0858702
68,107,臺北市中山區中山北路二段77巷6之3號七樓,中山區,1.0,房地(土地+建物)+車位,1071212,1060524,2,2,1,升降平面,有,345941,False,7,121.52388300000001,25.057383299999994
69,107,臺北市內湖區文德路66巷13弄9號,內湖區,34.0,房地(土地+建物),1071227,0730127,4,2,2,,無,169884,False,1,121.58208869999999,25.0776866
70,107,臺北市中山區南京東路二段23號十九樓之1,中山區,1.0,房地(土地+建物)+車位,1071211,1061208,4,2,2,坡道平面,有,397824,False,19,121.5288999,25.0523009
71,107,臺北市中山區長安東路二段105號三樓之5,中山區,10.0,房地(土地+建物)+車位,1071230,0970222,1,1,1,坡道機械,有,144469,False,3,121.53520789999999,25.0486066
72,108,臺北市中山區民權東路二段19號五樓之7,中山區,43.0,房地(土地+建物),1080115,0650823,2,1,1,,有,148898,False,5,121.5288939,25.062891299999997
73,108,臺北市信義區吳興街600巷76弄92號4樓,信義區,28.0,房地(土地+建物),1080102,0800930,2,1,1,,有,144479,False,4,121.56989119999999,25.0185767
74,107,臺北市松山區八德路三段183號15樓,松山區,11.0,房地(土地+建物)+車位,1071222,0960625,3,2,3,坡道平面,有,271301,False,15,121.5559437,25.048289699999998
75,107,臺北市信義區永吉路278巷37弄17號2樓,信義區,44.0,房地(土地+建物),1071219,0630413,3,2,1,,無,167264,False,2,121.57478280000001,25.044255099999997
76,108,臺北市信義區和平東路三段509巷7弄13號二樓,信義區,5.0,房地(土地+建物),1080125,1030917,2,1,1,,有,202579,False,2,121.5607087,25.0181423
77,108,臺北市士林區承德路四段317號九樓,士林區,34.0,房地(土地+建物),1080105,0740723,3,2,2,,有,163337,False,9,121.51802699999999,25.090200000000003
78,108,臺北市士林區中山北路六段405巷89號,士林區,2.0,房地(土地+建物),1080116,1060307,0,0,0,,有,348165,False,1,121.52591600000001,25.117657800000003
79,108,臺北市士林區通河西街二段126號七樓之2,士林區,8.0,房地(土地+建物),1080115,1000525,2,1,1,,有,135560,False,7,121.5065616,25.092983999999998
80,107,臺北市北投區吉利街280巷33弄5號三樓,北投區,48.0,房地(土地+建物),1071220,0590324,3,2,1,,無,139957,False,3,121.5102735,25.117383699999998
81,107,臺北市北投區吉利街211號四樓,北投區,35.0,房地(土地+建物),1071223,0721221,3,2,2,,無,122092,False,4,121.50933390000002,25.1188878
82,107,臺北市大安區復興南路二段291號八樓之1,大安區,30.0,房地(土地+建物),1071228,0770426,1,1,1,,無,265458,False,8,121.54361589999999,25.0250724
83,108,臺北市大安區新生南路一段97巷22號六樓,大安區,36.0,房地(土地+建物),1080111,0720628,3,2,2,,有,224888,False,6,121.5347699,25.041087799999996
84,108,臺北市大安區延吉街70巷2弄12之2號,大安區,48.0,房地(土地+建物),1080107,0601208,3,2,1,,無,198610,False,1,121.5537624,25.0429963
85,107,臺北市大安區金山南路二段185巷12號,大安區,31.0,房地(土地+建物),1071224,0760907,5,2,2,,無,209514,False,1,121.52693129999999,25.0282411
86,107,臺北市文山區保儀路62之3號12樓,文山區,4.0,房地(土地+建物)+車位,1071107,1030613,4,2,2,其他,有,165778,False,12,121.5684965,24.987683
87,107,臺北市中山區中山北路二段59巷45號10樓之2,中山區,19.0,房地(土地+建物),1071218,0880928,4,2,2,,有,216890,False,10,121.5245789,25.0560233
88,107,臺北市中山區建國北路一段57巷12號4樓,中山區,43.0,房地(土地+建物),1071207,0640115,4,3,3,,無,167921,False,4,121.53771649999999,25.050613
89,107,臺北市內湖區江南街24號3樓,內湖區,36.0,房地(土地+建物),1071022,0710209,4,0,4,,無,162138,False,3,121.577782,25.077753299999998
90,107,臺北市內湖區成功路五段450巷26號10樓,內湖區,21.0,房地(土地+建物)+車位,1071208,0860519,4,2,2,坡道平面,有,179525,False,10,121.6080238,25.0746136
91,107,臺北市中山區中山北路二段59巷45號15樓之13,中山區,19.0,房地(土地+建物),1071221,0880928,1,1,1,,無,208632,False,15,121.5245789,25.0560233
92,107,臺北市北投區中和街398巷5弄2號2樓之6,北投區,23.0,房地(土地+建物),1071219,0840622,1,0,1,,無,87343,False,2,121.49875270000001,25.1440681
93,108,臺北市士林區中山北路七段205之2號7樓,士林區,40.0,房地(土地+建物),1080102,0681208,4,3,3,,有,166348,False,7,121.53267,25.1257694
94,107,臺北市大安區新生南路一段145巷12號3樓,大安區,37.0,房地(土地+建物),1071105,0701113,3,2,2,,無,248021,False,3,121.53369239999998,25.0356494
95,108,臺北市大安區和平東路二段76巷23弄7之12號,大安區,48.0,房地(土地+建物),1080109,0600629,1,1,1,,無,210423,False,1,121.53970240000001,25.022854099999996
96,107,臺北市大安區瑞安街135巷29號10樓,大安區,6.0,房地(土地+建物)+車位,1071214,1010119,2,2,3,坡道平面,有,414169,False,10,121.54144139999998,25.0266265
97,108,臺北市北投區知行路292巷4弄6號3樓,北投區,39.0,房地(土地+建物),1080111,0690117,3,2,2,,無,107962,False,3,121.4681304,25.12154
98,107,臺北市北投區大同街228巷22號4樓,北投區,41.0,房地(土地+建物),1071231,0661121,2,1,1,,無,103069,False,4,121.4999713,25.139427800000004
99,107,臺北市北投區大度路三段301巷80弄30號,北投區,38.0,房地(土地+建物),1071229,0690419,5,3,2,,無,99146,False,1,121.464985,25.120347999999996
100,107,臺北市北投區裕民六路122號6樓,北投區,21.0,房地(土地+建物)+車位,1071224,0860225,3,2,2,坡道平面,有,176283,False,6,121.5176534,25.114616399999992
101,107,臺北市南港區研究院路三段18巷2號5樓,南港區,15.0,房地(土地+建物)+車位,1071227,0921204,3,2,2,坡道平面,有,101710,False,5,121.61600299999999,25.035461399999996
102,108,臺北市信義區和平東路三段509巷7弄3號2樓,信義區,24.0,房地(土地+建物),1080103,0840223,1,0,1,,無,166422,False,2,121.56064350000001,25.017845699999995
103,108,臺北市南港區玉成街66號7樓,南港區,22.0,房地(土地+建物),1080105,0860825,3,2,2,,有,211110,False,7,121.5821202,25.0467144
104,108,臺北市中正區仁愛路二段9巷11號4樓之1,中正區,28.0,房地(土地+建物),1080106,0800515,1,1,1,,無,244954,False,4,121.5261186,25.0386951
105,107,臺北市內湖區內湖路一段285巷69弄33號3樓,內湖區,35.0,房地(土地+建物),1071223,0720604,3,2,2,,無,137055,False,3,121.56848869999997,25.0847113
106,108,臺北市內湖區環山路二段109巷1弄4號3樓,內湖區,34.0,房地(土地+建物),1080101,0740108,3,2,2,,無,142326,False,3,121.5756371,25.0841253
107,108,臺北市內湖區金湖路77號6樓之3,內湖區,12.0,房地(土地+建物)+車位,1080102,0961030,4,2,2,坡道平面,有,257356,False,6,121.59710079999998,25.0813937
108,107,臺北市中山區伊通街19巷3號3樓,中山區,18.0,房地(土地+建物)+車位,1071217,0890808,5,2,2,升降平面,有,208901,False,3,121.53530970000001,25.0489815
109,108,臺北市中正區臨沂街75巷2之2號,中正區,38.0,房地(土地+建物),1080107,0701117,3,2,1,,有,367280,False,1,121.5287699,25.0345975
110,108,臺北市萬華區長泰街148號6樓,萬華區,7.0,房地(土地+建物)+車位,1080107,1010406,3,2,2,升降機械,有,127269,False,6,121.4986134,25.022203299999997
111,107,臺北市中正區羅斯福路三段240巷7弄15號3樓,中正區,29.0,房地(土地+建物)+車位,1071117,0781229,4,2,2,坡道平面,有,214451,False,3,121.5296061,25.018528399999994
112,107,臺北市大安區和平東路二段175巷54號4樓,大安區,33.0,房地(土地+建物),1071209,0740529,3,2,2,,有,257009,False,4,121.5417512,25.0274918
113,107,臺北市大安區市民大道三段186號五樓之1,大安區,2.0,房地(土地+建物)+車位,1071226,1050111,3,2,3,坡道平面,有,304651,False,5,121.53783969999999,25.044286500000002
114,108,臺北市大安區光復南路688號四樓之10,大安區,2.0,房地(土地+建物)+車位,1080119,1060515,0,0,0,坡道機械,有,307657,False,4,121.5571655,25.0300904
115,108,臺北市士林區通河東街一段6巷10號三樓,士林區,46.0,房地(土地+建物),1080104,0620815,3,2,1,,無,128323,False,3,121.5178911,25.0820069
116,107,臺北市北投區三合街一段118巷6號八樓,北投區,1.0,房地(土地+建物)+車位,1071226,1061128,3,2,3,坡道平面,有,218355,False,8,121.50408619999999,25.1270992
117,107,臺北市北投區三合街一段82巷61弄18號七樓,北投區,1.0,房地(土地+建物)+車位,1071105,1060421,3,2,3,坡道平面,有,192643,False,7,121.5040363,25.128172300000003
118,107,臺北市士林區通河西街二段191號三樓,士林區,43.0,房地(土地+建物),1071221,0640903,2,2,1,,無,96673,False,3,121.5041203,25.0932906
119,108,臺北市北投區中央北路三段40巷34弄16號,北投區,7.0,房地(土地+建物)+車位,1080113,1010731,3,2,2,坡道平面,有,115404,False,1,121.48588749999999,25.139726399999997
120,107,臺北市松山區南京東路三段335巷15號四樓之1,松山區,32.0,房地(土地+建物),1071224,0750321,1,1,1,,無,182076,False,4,121.54749659999997,25.052996399999998
121,107,臺北市松山區南京東路五段291巷19弄7號7樓,松山區,34.0,房地(土地+建物),1071220,0730517,3,2,2,,有,190532,False,7,121.5666778,25.0525614
122,107,臺北市南港區東新街122號3樓,南港區,8.0,房地(土地+建物)+車位,1071127,0990331,2,2,1,坡道機械,有,182756,False,3,121.58850369999999,25.046512200000006
123,107,臺北市南港區三重路41巷33號4樓之2,南港區,6.0,房地(土地+建物)+車位,1071225,1010119,3,2,2,坡道平面,有,135477,False,4,121.61308179999999,25.060318000000002
124,107,臺北市信義區忠孝東路五段1之10號八樓,信義區,34.0,房地(土地+建物),1071231,0730116,3,2,2,,有,245022,False,8,121.56497669999999,25.0413712
125,107,臺北市南港區東新街80巷20號五樓,南港區,20.0,房地(土地+建物)+車位,1071228,0871123,2,1,1,一樓平面,無,156044,False,5,121.587323,25.045259400000003
126,107,臺北市內湖區行善路291號二樓,內湖區,0.0,房地(土地+建物)+車位,1071217,1070711,3,2,2,坡道平面,有,246395,False,2,121.5845156,25.061963199999997
127,108,臺北市內湖區成功路四段178號十三樓之1,內湖區,1.0,房地(土地+建物)+車位,1080127,1070223,0,0,0,坡道平面,有,255073,False,13,121.59385539999998,25.083588199999998
128,107,臺北市中山區植福路286巷26號三十三樓,中山區,4.0,房地(土地+建物)+車位,1071217,1031229,0,0,0,坡道平面,有,675638,False,33,121.55924390000001,25.081311200000002
129,107,臺北市內湖區民權東路六段150之3號10樓之1,內湖區,9.0,房地(土地+建物),1071209,0980106,2,1,1,,有,188791,False,10,121.5903123,25.068374499999994
130,107,臺北市內湖區行善路25巷1弄2號5樓,內湖區,20.0,房地(土地+建物),1071219,0870506,3,2,2,,有,132334,False,5,121.5759966,25.056158800000002
131,108,臺北市內湖區星雲街150巷46號10樓之2,內湖區,20.0,房地(土地+建物),1080106,0880121,2,2,2,,有,205374,False,10,121.59709609999999,25.0796605
132,107,臺北市中山區新生北路二段28巷1號5樓之1,中山區,29.0,房地(土地+建物)+車位,1071224,0780517,3,3,2,坡道平面,有,204643,False,5,121.52702400000001,25.0538951
133,107,臺北市中山區新生北路二段68巷8號4樓之2,中山區,2.0,房地(土地+建物)+車位,1071230,1050602,2,1,1,坡道平面,有,277687,False,4,121.5268045,25.0566792
134,108,臺北市中山區合江街116巷7號四樓,中山區,52.0,房地(土地+建物),1080107,0560915,3,1,1,,無,148186,False,4,121.5387214,25.059212499999994
135,108,臺北市中正區忠孝西路一段50號十七樓之3,中正區,29.0,房地(土地+建物),1080111,0790815,0,0,0,,有,228070,False,17,121.51583,25.046222000000004
136,108,臺北市中正區忠孝西路一段50號十七樓,中正區,29.0,房地(土地+建物),1080111,0790815,0,0,0,,有,228201,False,17,121.51583,25.046222000000004
137,108,臺北市中正區忠孝西路一段50號十七樓之1,中正區,29.0,房地(土地+建物),1080111,0790815,0,0,0,,有,228080,False,17,121.51583,25.046222000000004
138,108,臺北市萬華區長沙街二段156號十四樓,萬華區,17.0,房地(土地+建物)+車位,1080108,0911101,3,2,2,升降平面,有,149150,False,14,121.50104129999998,25.0407218
139,108,臺北市萬華區萬大路101號五樓之1,萬華區,39.0,房地(土地+建物),1080117,0690725,2,1,1,,無,144400,False,5,121.5008549,25.0299577
140,107,臺北市文山區木柵路4段159巷160號4樓,文山區,37.0,房地(土地+建物),1071223,0700725,2,2,1,,無,88154,False,4,121.577628,25.003319999999995
141,108,臺北市中正區廈門街123巷69之3號3樓,中正區,35.0,房地(土地+建物),1080101,0730225,3,2,1,,無,141068,False,3,121.51754980000001,25.023029200000003
142,108,臺北市萬華區中華路二段416巷9之5號,萬華區,32.0,房地(土地+建物),1080106,0760316,2,1,1,,有,137056,False,1,121.50440750000001,25.026756499999998
143,108,臺北市文山區木柵路二段109巷100弄68號4樓,文山區,23.0,房地(土地+建物)+車位,1080105,0850925,3,2,2,坡道機械,有,103358,False,4,121.56233300000001,24.992888999999998
144,108,臺北市文山區景華街128巷18號,文山區,36.0,房地(土地+建物),1080106,0720902,3,2,2,,無,132204,False,1,121.54775539999999,24.994713299999997
145,107,臺北市文山區木新路三段87號6樓,文山區,5.0,房地(土地+建物)+車位,1071125,1020910,3,2,2,坡道平面,有,120689,False,6,121.56319280000001,24.982082000000002
146,108,臺北市大同區哈密街59巷56弄32號二樓之1,大同區,7.0,房地(土地+建物)+車位,1080103,1010913,3,2,1,升降機械,有,159665,False,2,121.51495519999999,25.075282299999994
147,107,臺北市內湖區康寧路三段187號5樓,內湖區,3.0,房地(土地+建物),1071231,1041030,0,0,0,,無,186856,False,5,121.6120306,25.070023300000003
148,107,臺北市中山區南京東路二段198號5樓,中山區,8.0,房地(土地+建物)+車位,1071219,0990528,4,2,3,坡道平面,有,248072,False,5,121.53537099999998,25.05172
149,108,臺北市中山區松江路25巷5號9樓之7,中山區,11.0,房地(土地+建物),1080106,0971118,1,1,1,,無,267719,False,9,121.5333957,25.0472708
150,107,臺北市內湖區民權東路六段280巷69弄4號8樓,內湖區,24.0,房地(土地+建物)+車位,1071225,0830608,3,2,1,坡道平面,有,151863,False,8,121.6082357,25.0693555
151,108,臺北市內湖區康樂街197號3樓之2,內湖區,7.0,房地(土地+建物)+車位,1080108,1010204,2,2,1,坡道平面,有,122960,False,3,121.621141,25.075991999999996
152,108,臺北市內湖區內湖路一段411巷74弄7號二樓,內湖區,35.0,房地(土地+建物),1080118,0730514,3,2,1,,無,145082,False,2,121.57144799999999,25.0842079
153,108,臺北市內湖區成功路二段486巷10號三樓,內湖區,21.0,房地(土地+建物)+車位,1080102,0870911,3,1,1,坡道平面,有,135630,False,3,121.58923580000001,25.0734061
154,107,臺北市中山區北安路476巷14號4樓,中山區,44.0,房地(土地+建物),1071130,0630118,2,1,1,,無,174216,False,4,121.54491770000001,25.0792293
155,107,臺北市內湖區內湖路三段72巷27號五樓,內湖區,35.0,房地(土地+建物),1071228,0720406,5,2,3,,無,125068,False,5,121.59157150000001,25.08702539999999
156,107,臺北市中山區植福路286巷38號二十六樓,中山區,4.0,房地(土地+建物)+車位,1071203,1031229,0,0,0,坡道平面,有,538909,False,26,121.55960369999998,25.081121
157,107,臺北市內湖區民權東路六段280巷155弄17號十四樓,內湖區,4.0,房地(土地+建物)+車位,1071211,1031231,0,0,0,坡道平面,有,181357,False,14,121.60799669999999,25.068946699999998
158,107,臺北市內湖區民權東路六段280巷155弄19號十四樓,內湖區,4.0,房地(土地+建物)+車位,1071211,1031231,0,0,0,坡道平面,有,176186,False,14,121.60797319999999,25.068818600000004
159,108,臺北市松山區八德路四段489號二樓,松山區,41.0,房地(土地+建物),1080131,0670202,1,1,1,,無,125246,False,2,121.57143690000001,25.0500075
160,108,臺北市信義區信義路五段150巷441弄21號二樓,信義區,49.0,房地(土地+建物),1080129,0590105,3,1,1,,無,163585,False,2,121.5717461,25.023194899999996
161,107,臺北市松山區民權東路三段106巷3弄57號4樓,松山區,34.0,房地(土地+建物),1071116,0731211,4,2,2,,有,205150,False,4,121.5487413,25.0613425
162,108,臺北市松山區三民路80巷3號十四樓之3,松山區,15.0,房地(土地+建物)+車位,1080114,0930914,3,2,2,坡道平面,有,205525,False,14,121.56392159999999,25.055958099999994
163,108,臺北市士林區天母東路105巷10號二樓,士林區,34.0,房地(土地+建物),1080103,0740803,3,2,2,,無,125752,False,2,121.5362385,25.119429199999995
